start,dest,enter,exit
0,0,0,20
0,0,0,20
0,0,40510688,20
1,0,0,20
0,0,40510784,20
0,0,20,40
0,0,20,40
1,0,20,40
1,0,20,40
0,0,40510784,40
0,0,40,60
0,0,40,60
0,0,40510688,60
1,0,40,60
0,0,40510784,60
0,0,60,80
0,0,60,80
0,0,40510688,80
1,0,60,80
1,0,60,80
0,0,40510688,100
1,0,80,100
1,0,80,100
0,0,40510784,100
0,0,40510784,100
0,0,100,120
0,0,40510688,120
1,0,100,120
1,0,100,120
1,0,100,120
0,0,120,140
0,0,40510688,140
1,0,120,140
0,0,40510784,140
0,0,40510784,140
0,0,40510688,160
0,0,40510688,160
1,0,140,160
0,0,40510784,160
0,0,40510784,160
0,0,160,180
1,0,160,180
1,0,160,180
0,0,40510784,180
0,0,40510784,180
0,0,180,200
0,0,40510688,200
0,0,40510688,200
1,0,180,200
0,0,40510784,200
0,0,200,220
0,0,40510688,220
0,0,40510688,220
0,0,40510688,220
0,0,40510784,220
0,0,220,240
0,0,220,240
0,0,40510688,240
0,0,40510784,240
0,0,40510784,240
0,0,40510688,260
1,0,240,260
1,0,240,260
0,0,40510784,260
0,0,40510784,260
0,0,260,280
0,0,260,280
0,0,40510688,280
0,0,40510688,280
0,0,40510784,280
0,0,40510688,300
0,0,40510688,300
1,0,280,300
1,0,280,300
0,0,40510784,300
0,0,300,320
0,0,40510688,320
0,0,40510784,320
0,0,40510784,320
0,0,40510784,320
0,0,320,340
0,0,320,340
1,0,320,340
0,0,40510784,340
0,0,40510784,340
1,0,340,360
1,0,340,360
1,0,340,360
0,0,40510784,360
0,0,40510784,360
0,0,360,380
0,0,40510688,380
0,0,40510688,380
1,0,360,380
1,0,360,380
0,0,40510688,400
0,0,40510688,400
0,0,40510688,400
0,0,40510784,400
0,0,40510784,400
0,0,400,420
0,0,400,420
0,0,40510688,420
0,0,40510688,420
1,0,400,420
0,0,420,440
0,0,40510688,440
1,0,420,440
1,0,420,440
0,0,40510784,440
1,0,440,460
1,0,440,460
1,0,440,460
0,0,40510784,460
0,0,40510784,460
0,0,460,480
0,0,460,480
0,0,460,480
1,0,460,480
0,0,40510784,480
0,0,480,500
0,0,480,500
0,0,480,500
0,0,40510688,500
0,0,40510688,500
0,0,500,520
0,0,500,520
0,0,40510688,520
1,0,500,520
0,0,40510784,520
0,0,520,540
0,0,40510688,540
1,0,520,540
1,0,520,540
0,0,40510784,540
0,0,540,560
0,0,40510688,560
0,0,40510688,560
1,0,540,560
0,0,40510784,560
0,0,560,580
1,0,560,580
1,0,560,580
0,0,40510784,580
0,0,40510784,580
0,0,580,600
0,0,40510688,600
0,0,40510688,600
0,0,40510688,600
1,0,580,600
0,0,600,620
0,0,600,620
0,0,40510688,620
0,0,40510688,620
0,0,40510784,620
